Product,Name,Rating,CommentHead,Comment
bestnovelsinnewyork,Sathya Sathyakumar,No Rating,Worst experience ever!,Battery very bad but futures okREAD MORE
bestnovelsinnewyork,Dibakar Maji,4,Pretty good,GoodREAD MORE
bestnovelsinnewyork,Flipkart Customer,No Rating,Absolute rubbish!,Sim card not workingREAD MORE
bestnovelsinnewyork,Rubi Pandey,No Rating,Horrible,Veri bad productREAD MORE
bestnovelsinnewyork,R.ANAND AMMAN ANAND,4,Very Good,OkREAD MORE
bestnovelsinnewyork,Flipkart Customer,No Rating,Absolute rubbish!,Very bad please not buyREAD MORE
bestnovelsinnewyork,Flipkart Customer,No Rating,Worst experience ever!,This mobile was very dirtyREAD MORE
bestnovelsinnewyork,Priyanka P,No Rating,Useless product,Very bad product.waste for my moneyREAD MORE
bestnovelsinnewyork,sachin  bhise ,No Rating,Worst experience ever!,Bad product battery only 2 hrs stand by then switch offREAD MORE
bestnovelsinnewyork,Flipkart Customer,No Rating,Not recommended at all,"Battery backup very poor. Not good this phone.weightless,local phone functions are not perfect. Totally bad. Not recommend this phone 😡READ MORE"
bestnovelsinnewyork,Flipkart Customer,No Rating,No comment head found,"Battery backup very poor. Not good this phone.weightless,local phone functions are not perfect. Totally bad. Not recommend this phone 😡READ MORE"
