Product,Name,Rating,CommentHead,Comment
iPhone,Rahul Prasad ,5,Fabulous!,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing..READ MORE"
iPhone,Sankhadip Mazumder,4,Good choice,"It's a apple device .. that means you get the good old ios . No performance issue , supper ram and power management . My slightly distasteful remark would be on its camera . Dont get me wrong , its great but the colors seems to be vibrant by default which I'm not really a fan of. Also the low light performance of the front camera is not that sharp . I used to own a pixel 3 and its front camera output seems to be better than iphone 13's . But overall the camera is good and it will do the job. ...READ MORE"
iPhone,Flipkart Customer,5,Best in the market!,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.READ MORE"
iPhone,Flipkart Customer,5,Terrific,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.READ MORE"
iPhone,Gurjinder Singh,5,Must buy!,Nice phone if your budget is about 65k to 70k go for iphoneotherwise go for pro modeliOS is better than android giving much security as well as regular update for long time periodIt has good battery back up to then android phoneGood cameraREAD MORE
iPhone,Feecon Behera,5,Must buy!,"Just awesome!!I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it. Camera is best. Battery giving a full day. Speaker sounds wide and clear. Must buy!!READ MORE"
iPhone,Samaresh  Tikader,5,Fabulous!,"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera😍, perfect screen size and potentially battery life make it worthy.READ MORE"
iPhone,Sunder Singh ,5,Highly recommended,I am so happy to have first time i phone 14. My experience is outstanding to have this phone.But i wanted to have i phone 18 fortunately i have this now.READ MORE
iPhone,sagar dimble,4,Nice product,camera is not as expected at evening as pictures are so dull and not bright.so much dissipointed when compare camera even with s21fe or one plus nord or other premium phones.at bright sunlight or in a bright light at night pictures are so good in portrait mode.selfies in low light are terrible. looks like camera under 10k phone.battery is good and last for day easily.performance is so good.display may be if 90hz it will be good at this price range.READ MORE
iPhone,Ashutosh Kumar,5,Classy product,"Great phone with great capabilities 🔥Excellent camera 📸Processor same as my 13pro New blue colour is awesome ❤️I have :- 14pro . 13pro . 12. 12mini . Also new this one iphone 14 . One thing is common in all have , there is no lag till the date. The one thing I always said it is what it is🔥🔥READ MORE"
iPhone,Ashutosh Kumar,No Rating,No comment head found,"Great phone with great capabilities 🔥Excellent camera 📸Processor same as my 13pro New blue colour is awesome ❤️I have :- 14pro . 13pro . 12. 12mini . Also new this one iphone 14 . One thing is common in all have , there is no lag till the date. The one thing I always said it is what it is🔥🔥READ MORE"
